,efft,ymft,gwrt
3744,0.6378251992782541,0.9999999999999999,0.6209446215901653
1877,0.3663815893089869,0.3647305031323381,0.7823096512745997
3605,0.7735118137574194,0.9913547809236437,0.9084907303726932
2112,0.8616543172204044,0.9999999999999999,0.749260648595975
496,0.49213814175489035,0.5612257582233452,0.7014582165049157
1105,0.8446399163972814,0.9999999999999999,0.7383894707583911
3282,0.563946619204856,0.9824337049455011,0.8417594460674525
1008,0.6181183025326801,0.7274601923165339,0.8939554127512748
2601,0.5498947478797606,0.8421042773145159,0.8620057772029182
2928,0.06238084635622676,0.02104345427331278,0.43763520962149416
2340,0.6174874164537035,0.7528373244605039,0.7026767525420463
3958,0.3737203934059956,0.5213712471967319,0.7333528932029094
2230,0.7910966320374969,0.9999999999999999,0.5168711446428886
3324,0.8514855271679206,0.9695740054251857,0.689029377379774
1932,0.8239221449058177,0.9612284827359553,0.8390401570307275
2392,0.7183377804129533,0.9206604899695364,0.8633097870818434
4099,0.6592911127176831,0.9999999999999999,0.6700837717836088
1454,0.6332609477442538,0.9911214945313921,0.8320203044723906
2065,0.6308571314503105,0.9999999999999999,0.7108374402534907
486,0.7409478545110683,0.9999999999999999,0.7769542243201888
711,0.44762197606237075,0.6286404171228807,0.7389671691213937
1919,0.7293109081399355,0.9914569501465275,0.8365508033052367
4131,0.6107416464982846,0.9999999999999999,0.7604558664232564
1420,0.8788381407656304,0.9379969042725466,0.7144459337610818
3177,0.4433222099040167,0.7250541071176188,0.652250997549046
3296,0.9307615710185945,0.9999999999999999,0.7188968522992891
2447,0.7185006090909082,0.8829566410846285,0.5802913704781314
2123,0.8921238161059036,0.9999999999999999,0.8012169547706129
3455,0.6317784637205387,0.905685887535525,0.8951950396149417
2323,0.774749950728754,0.9735211430692655,0.8588165142994189
1871,0.7767840570980576,0.9143668658398904,0.9632470956365278
659,0.7985745786950832,0.9999999999999999,0.7673001719503707
4579,0.36895160968239715,0.9999999999999999,0.28128372811439606
2562,0.8280917592972489,0.9604077233121217,0.836968089667433
64,0.6419456659632584,0.9141352822680203,0.9174642059150955
982,0.8299036328633004,0.9364030643955582,0.7693035760130753
2097,0.48408903426843086,0.7732967113429973,0.7555531028500246
512,0.910006827882874,0.9999999999999999,0.7281842411683044
2931,0.7471213399553508,0.9713960232332811,0.8105562393544341
4142,0.5183701995933304,0.9999999999999999,0.5416841211424488
21,0.8158438518096861,0.9999999999999999,0.7120601744432669
4383,0.8668243945836541,0.9234786577007496,0.7187888089822756
3809,0.6983436386491723,0.9842710481370293,0.7358830359520139
3710,0.7548416923896762,0.9649934185992258,0.9740470619642951
3364,0.8389363430398055,0.9829803102879299,0.8772282823795625
2952,0.8182367071312123,0.9999999999999999,0.6107081999610433
3441,0.7486752283653261,0.9269387887157498,0.96555070107667
277,0.6851736223885111,0.9999999999999999,0.5643973760272349
1812,0.3433434354691507,0.3476988936775981,0.7728883900751393
1620,0.8580786886709438,0.9999999999999999,0.7319687534859651
2225,0.836907819944272,0.9697034197741717,0.7521765459249723
155,0.36385867208402656,0.39903211689521345,0.646838445418525
1684,0.44766351021277795,0.8567093677257641,0.5844337601237748
835,0.7712809787086693,0.9801280861490888,0.9193974195920798
3081,0.2533134589169581,0.3176543308682168,0.6025922938974515
1876,0.6127940054385831,0.8505196156393834,0.9011689753949448
748,0.4085762535559676,0.9999999999999999,0.255484596273982
3287,0.5201481946699916,0.9716752857758303,0.5790286435688947
2404,0.83531418682936,0.9999999999999999,0.7860518321282266
52,0.683370964055169,0.9915880673158951,0.6006684757592959
1513,0.6760516521419319,0.9060298572525672,0.768030206565264
3542,0.857286752935606,0.8971615687062481,0.6640673852931609
3464,0.4266528799088741,0.5711072248965962,0.6417576541442593
309,0.7222978654745563,0.9999999999999999,0.7248274807303487
4357,0.8641083395632724,0.9763137684947577,0.8897739177161772
1925,0.5959279691791287,0.9163268120988793,0.8640295781985861
388,0.7167164794659758,0.8875457420124951,0.6906673547035131
1977,0.7140853544847426,0.9999999999999999,0.6998598944410386
2140,0.7462806439863586,0.988705192410189,0.8511296332024993
2081,0.6040183933983015,0.9955113654746356,0.7718422705124073
507,0.7086965234870951,0.788276422238153,0.7110858051056814
1953,0.32373913475204585,0.3596373673715775,0.643681526188161
1367,0.5793667364479075,0.8451080524673015,0.24473332949204007
2195,0.6962575496284081,0.9901049107636978,0.9473891962893286
1747,0.6410643636684724,0.8971547574247224,0.7951899389611368
3286,0.864400048336326,0.9999999999999999,0.8963097835828879
2029,0.614953779666532,0.8989495301067155,0.793925555068157
3362,0.3821461640862923,0.9588700765077197,0.6419821138090229
192,0.7350086003412027,0.962360858289585,0.969636542002831
2826,0.6846980708015483,0.9516960942408911,0.9790968065437575
3004,0.6272877112782788,0.9494381544151577,0.7228877193500047
1007,0.6980790790910657,0.9868048448645491,0.9404236959218919
1142,0.8234609091524513,0.9238260330585547,0.8901444273142425
3701,0.728062717383586,0.9999999999999999,0.5255737483204379
3260,0.6840943035223536,0.9576610740369272,0.6032544821142649
2767,0.6364815274627321,0.8891838552193999,0.7380780285927424
3322,0.6470431516846676,0.7466560864760302,0.835207410921109
589,0.82544601855476,0.9999999999999999,0.8055222274219642
1924,0.7096960011063885,0.9999999999999999,0.7596539079291544
2363,0.40257849785626365,0.9890644875106637,0.6847216225314969
4231,0.8850071490014181,0.9745956227299274,0.48577834700938394
137,0.41825119495048146,0.35986724812306614,0.6758432380274924
384,0.69309769804496,0.9932670482119533,0.9320712972844913
3054,0.5767134649739712,0.9302252320518473,0.6892425072690316
987,0.6266759981295259,0.9999999999999999,0.7980799326738122
2107,0.6656274800108303,0.8073531189709516,0.72693468755507
3279,0.6498966306021433,0.9999999999999999,0.5563809275575706
969,0.7878960232129192,0.9943415278726154,0.7434223315395139
3998,0.712815045854183,0.9999999999999999,0.9295595484507149
2196,0.6994596898053177,0.9948830247538997,0.7497877101097392
3897,0.48395194229773353,0.850586025634258,0.7707745091442246
1683,0.7297325803086613,0.8299223003059967,0.6751153205067579
4414,0.8278736243995825,0.9999999999999999,0.6550261093094478
1948,0.5142732679298466,0.983952620725708,0.5649201849448995
2891,0.6172780332935152,0.9394221649317763,0.7746244176021713
921,0.6863168547287263,0.9299102102812887,0.7837904291752973
2841,0.6090972314587481,0.9999999999999999,0.7340367360596696
1406,0.8250002888541391,0.9903347915151864,0.9135413359757787
1264,0.6668594668780498,0.9128700867246419,0.5274150689203967
180,0.6412862770145696,0.9814801255319184,0.8340197958719073
170,0.7637864096271573,0.9999999999999999,0.1932783552046352
236,0.8080591763649146,0.9432177515619119,0.7357170349562265
2210,0.7110167784728049,0.9570293276754286,0.916877318104907
116,0.6624943817302601,0.9999999999999999,0.8014415568616928
14,0.5301274722676991,0.8137693461680581,0.6484453735244209
4103,0.7262772252938122,0.9754283018964308,0.5858721894293342
3805,0.832080208928477,0.9710554591570016,0.952385299915719
2972,0.7818188831978296,0.9999999999999999,0.7233555111827144
3070,0.6839731618476966,0.8388757298713859,0.9517857814835058
890,0.7116923515167618,0.9999999999999999,0.698287676246538
3565,0.6014866700838047,0.9937710830448471,0.8448421380687128
2421,0.4624617333320439,0.7881010317388689,0.34502057477143777
3468,0.7394794278720568,0.9744866422255182,0.8241241891843354
2013,0.19605854193197947,0.3869710401337735,0.4343662129496557
1099,0.7571914800994043,0.9628751100447671,0.6766487511622867
2180,0.5681352237701803,0.9999999999999999,0.7608183474589549
4151,0.8566988283036153,0.9860487926152085,0.7595846345980191
408,0.7233925323214286,0.9999999999999999,0.9032024256477345
842,0.5739206558098969,0.9622331467609803,0.5451303450557627
1138,0.7375466835662096,0.8714881458159148,0.9428984562281297
3257,0.8284560528159272,0.9544223096715089,0.7912940501354866
1392,0.8428237541958227,0.9500137077040701,0.7117748914481037
483,0.7332847924124978,0.7582318594287717,0.7798657341373982
2094,0.5820313483662803,0.9749753516749792,0.7539862975776472
254,0.7836105344030201,0.9999999999999999,0.8617831670662826
2567,0.42798381881675496,0.9999999999999999,0.46600411294177646
1186,0.6751085271154084,0.9881023939951742,0.792504629491894
4057,0.5730900607374462,0.8277205535528495,0.8215846700835834
