,Res_depth,thickness,Res_perm,poro,geo_gradient,ntg,Pinj,Pprod,CGtime,Sw,CGtype,time
3082,0.36807850205266845,0.35706418343847,0.32517798054747815,0.6280271230222796,0.8666666666666669,0.34212283044058744,0.414707353676838,0.7735735735735736,0.9805555555555556,0.0,0.0,0.1111111111111111
4168,0.3531591068388906,0.5190747972364074,0.08974230422139777,0.7865676461091379,0.8800000000000001,0.25233644859813076,0.3511755877938971,0.3821821821821825,0.0,0.0,1.0,0.5555555555555556
4350,0.18053469510363473,0.592770601782317,0.9573849393362077,0.6577332902809171,0.3966666666666667,0.22046061415220286,0.8949474737368686,0.31191191191191203,0.28055555555555556,0.0,0.3333333333333333,0.0
1342,0.5274857314508862,0.6469410233303294,0.12102677228516996,0.22311914756215692,0.6433333333333333,0.07009345794392519,0.24262131065532744,0.6164164164164165,0.8916666666666667,0.0,0.3333333333333333,0.7777777777777777
2448,0.46280164213477526,0.6409332131771303,0.14749824526220795,0.27736519212140787,0.7533333333333334,0.3666555407209613,0.572286143071536,0.9693693693693697,0.0,0.0,1.0,0.6666666666666665
1498,0.39831781315710424,0.6572544307599879,0.48912062568936127,0.47562156926057475,0.6466666666666667,0.7471628838451267,0.131065532766383,0.558758758758759,0.0,0.0,1.0,0.8888888888888888
3901,0.03334334635025532,0.6659657554821267,0.43617767973528526,0.40297061672586365,0.32999999999999996,0.826769025367156,0.39719859929964985,0.8364364364364365,0.7472222222222222,0.0,0.3333333333333333,0.6666666666666665
13,0.9205967758085511,0.0670872133773906,0.9623984758848891,0.734258960284146,0.5533333333333335,0.7177903871829105,0.5717858929464734,0.4473473473473475,0.7805555555555556,0.0,0.0,0.7777777777777777
1291,0.7415640332432163,0.4087313507559828,0.7327785019552793,0.41685502098805294,0.15000000000000002,0.9409212283044057,0.7718859429714855,0.6506506506506509,0.7694444444444445,0.0,0.6666666666666666,0.7777777777777777
3819,0.2695504155402023,0.5957745068589166,0.0609646044319663,0.6041330319664191,0.4633333333333334,0.67456608811749,0.1405702851425712,0.7981981981981983,0.55,0.0,0.6666666666666666,1.0
367,0.6225092620406529,0.24341644137378593,0.9500651759751328,0.9958023894091056,0.00666666666666671,0.3174232309746329,0.952476238119059,0.5254254254254256,0.0,0.0,1.0,0.4444444444444445
935,0.21517973365374987,0.21207569840793028,0.7233530532437581,0.941879237972231,0.08333333333333348,0.26451935914552727,0.3526763381690845,0.8395395395395397,0.0,0.0,1.0,0.0
3307,0.5692400120156204,0.7901271653149093,0.04772886794344731,0.3216015498869874,0.046666666666666745,0.2680240320427235,0.8244122061030517,0.47447447447447466,0.7694444444444445,0.0,0.6666666666666666,0.1111111111111111
3244,0.11745268849504353,0.6580554721137478,0.10819211872054546,0.9244430093639006,0.42666666666666664,0.5942923898531374,0.3091545772886448,0.4850850850850852,0.8138888888888889,0.0,0.3333333333333333,0.6666666666666665
580,0.7803144087313507,0.7060178231701212,0.10919482603028176,0.7562156926057474,0.7666666666666668,0.43574766355140193,0.15207603801900937,0.9487487487487489,0.0,0.0,1.0,0.7777777777777777
4220,0.20887153299289074,0.42545308901572043,0.33199639025368494,0.16693574426864707,0.3900000000000001,0.07226301735647522,0.859929964982491,0.5473473473473474,0.5361111111111111,0.0,0.6666666666666666,0.1111111111111111
2466,0.04195454090317413,0.3670772003604686,0.5422641131053845,0.42428156280271234,0.7333333333333334,0.3227636849132176,0.6783391695847922,0.7749749749749753,0.9944444444444445,0.0,0.3333333333333333,0.7777777777777777
3691,0.9697606888955643,0.0793030940222289,0.26581770781109,0.5172747820471424,0.8533333333333333,0.9634512683578105,0.969484742371185,0.37297297297297294,0.46111111111111114,0.0,0.0,0.2222222222222222
802,0.9790727946330229,0.13807950335436067,0.6925699388348541,0.7697772037455602,0.9033333333333333,0.8042389853137517,0.14557278639319682,0.6249249249249251,0.8722222222222222,0.0,0.0,0.3333333333333333
1653,0.9531390808050466,0.2576349254030239,0.6791336608843879,0.06457862447529866,0.06000000000000005,0.9440921228304406,0.9219609804902449,0.46116116116116124,0.0,0.0,1.0,0.3333333333333333
949,0.4530890157204366,0.02493241213577651,0.7367893311942244,0.6735550532773651,0.43000000000000016,0.55607476635514,0.8154077038519256,0.7240240240240241,0.0,0.0,1.0,0.3333333333333333
178,0.7697006107940323,0.024732151797336538,0.44800962599017347,0.6674200839522119,0.43000000000000016,0.6178237650200267,0.1030515257628819,0.662862862862863,0.325,0.0,0.6666666666666666,0.3333333333333333
2045,0.4025232802643437,0.3170121157504756,0.5915973127444099,0.14045850823377462,0.7200000000000002,0.4490987983978638,0.9814907453726862,0.2250250250250252,0.29444444444444445,0.0,0.6666666666666666,0.2222222222222222
3960,0.04195454090317413,0.3670772003604686,0.5422641131053845,0.42428156280271234,0.7333333333333334,0.3227636849132176,0.6783391695847922,0.7749749749749753,0.9944444444444445,0.0,0.3333333333333333,1.0
1086,0.9057775107639932,0.8971663162110745,0.30823222701293496,0.17662253793994184,0.1166666666666667,0.4235647530040054,0.8549274637318658,0.10590590590590598,0.5083333333333333,0.0,0.3333333333333333,0.7777777777777777
3788,0.47762090717933314,0.25563232201862424,0.6055349443497443,0.29189538262835,0.18000000000000005,0.9392523364485981,0.8834417208604299,0.09759759759759756,0.30833333333333335,0.0,0.0,0.6666666666666665
2668,0.07399619505356964,0.7158305797536798,0.09435475784618469,0.9664191152728446,0.5033333333333334,0.040220293724966605,0.026013006503251557,0.997997997997998,0.0,0.0,1.0,1.0
900,0.49834785220787026,0.457294482827676,0.7130251679534744,0.3726186632224733,0.14,0.9833110814419224,0.7463731865932965,0.8048048048048049,0.7805555555555556,0.0,0.0,0.7777777777777777
3492,0.8909582457194354,0.45348953639731654,0.26130552491727665,0.38811753309654495,0.026666666666666727,0.8631508678237649,0.8114057028514257,0.928528528528529,0.7444444444444445,0.0,0.6666666666666666,0.3333333333333333
4041,0.0473615700410534,0.9679583458496046,0.9195828737591497,0.2702615434291249,0.050000000000000044,0.8758344459279039,0.40520260130065067,0.8149149149149153,0.6805555555555556,0.0,0.3333333333333333,0.5555555555555556
1273,0.5976769800740963,0.058075498147591866,0.7550386042314248,0.7077817242492734,0.3966666666666667,0.21745660881174889,0.06353176588294174,0.31861861861861884,0.25833333333333336,0.0,0.3333333333333333,0.7777777777777777
3346,0.45378992690497644,0.942425152698508,0.9760352952973027,0.055214723926380355,0.3466666666666667,0.5275367156208277,0.3441720860430211,0.21331331331331338,0.9111111111111111,0.0,0.3333333333333333,0.1111111111111111
2631,0.3221187543806949,0.15309902873735856,0.54076005214078,0.8524378430739424,0.31333333333333346,0.9662883845126835,0.5967983991995998,0.01251251251251273,0.0,0.0,1.0,0.7777777777777777
1175,0.9491338740362472,0.20466606588565137,0.9715231124034894,0.16984178237003553,0.6933333333333334,0.6393524699599467,0.7118559279639816,0.8296296296296297,0.7027777777777778,0.0,0.6666666666666666,0.8888888888888888
1115,0.1933513567637929,0.16471412836687693,0.01082923894515191,0.18695511785598964,0.6466666666666667,0.3195927903871829,0.8839419709854921,0.17847847847847853,0.37777777777777777,0.0,0.0,0.1111111111111111
2269,0.9989986983078001,0.257034144387704,0.8804772886794344,0.40361640297061674,0.3566666666666668,0.3060747663551402,0.5182591295647825,0.604004004004004,0.0,0.0,1.0,0.4444444444444445
3151,0.43546610593771906,0.1377791128467007,0.7830141381730673,0.3006134969325154,0.3733333333333334,0.07376502002670215,0.7518759379689843,0.9007007007007009,0.7305555555555556,0.0,0.3333333333333333,0.7777777777777777
