,Res_depth,thickness,Res_perm,poro,geo_gradient,ntg,Pinj,Pprod,Sw,time,efft,watt,ymft,gwrt,capt
124,2627.5,268.738,275.0257,0.2052,0.039,0.5842,0.7373,58.83,0.5598,5.0,0.6716402243506562,2798310.0000000023,0.915426,19236.003159049546,73366400000.0
125,2627.5,268.738,275.0257,0.2052,0.039,0.5842,0.7373,58.83,0.5598,6.0,0.6856054560984403,2678619.9999999986,0.931919,20418.7230738216,74343599999.99998
126,2627.5,268.738,275.0257,0.2052,0.039,0.5842,0.7373,58.83,0.5598,7.0,0.6975971054521011,2602419.9999999986,0.943831,21249.798264692112,74820699999.99998
127,2627.5,268.738,275.0257,0.2052,0.039,0.5842,0.7373,58.83,0.5598,8.0,0.7082331304086625,2505919.9999999995,0.953879,22341.53524454094,75404500000.00005
128,2627.5,268.738,275.0257,0.2052,0.039,0.5842,0.7373,58.83,0.5598,9.0,0.7160339453306753,2447050.000000001,0.961386,23078.931774994373,75826799999.99994
129,2627.5,268.738,275.0257,0.2052,0.039,0.5842,0.7373,58.83,0.5598,10.0,0.7223789776119102,2387440.0000000014,0.966084,23825.436450758956,76071700000.00008
130,1450.75,241.391,755.6446,0.2231,0.0166,0.5342,0.6324,44.37,0.6563,1.0,0.43144028816822855,8284216.000000001,0.469621,3500.6028331467937,31566110000.0
131,1450.75,241.391,755.6446,0.2231,0.0166,0.5342,0.6324,44.37,0.6563,2.0,0.5505004313029092,7600674.0,0.644983,4291.470730095779,38216320000.00001
132,1450.75,241.391,755.6446,0.2231,0.0166,0.5342,0.6324,44.37,0.6563,3.0,0.617208317022386,7330779.999999999,0.730162,4636.896755870453,40212869999.99999
133,1450.75,241.391,755.6446,0.2231,0.0166,0.5342,0.6324,44.37,0.6563,4.0,0.6740026054923135,7127260.0,0.777353,4994.950373635871,41059199999.99999
134,1450.75,241.391,755.6446,0.2231,0.0166,0.5342,0.6324,44.37,0.6563,5.0,0.7115589750713545,6941170.000000003,0.809059,5291.658322732333,41763200000.000015
135,1450.75,241.391,755.6446,0.2231,0.0166,0.5342,0.6324,44.37,0.6563,6.0,0.7381176748426889,6816159.999999996,0.83122,5500.985892349951,42225100000.0
136,1450.75,241.391,755.6446,0.2231,0.0166,0.5342,0.6324,44.37,0.6563,7.0,0.7561715424291399,6732730.000000004,0.845327,5639.985563062825,42449599999.99998
137,1450.75,241.391,755.6446,0.2231,0.0166,0.5342,0.6324,44.37,0.6563,8.0,0.7765718846168234,6636669.999999995,0.861229,5811.5591102164235,42774000000.0
138,1450.75,241.391,755.6446,0.2231,0.0166,0.5342,0.6324,44.37,0.6563,9.0,0.7967461347918146,6534820.000000004,0.873442,6005.398771504029,43021900000.000015
139,1450.75,241.391,755.6446,0.2231,0.0166,0.5342,0.6324,44.37,0.6563,10.0,0.803392152818415,6516369.999999995,0.880878,6046.525903225271,43201599999.999985
140,3412.0,109.238,149.4514,0.3336,0.0263,0.7692,0.6331,38.394,0.7844,1.0,0.37975370180444484,4182019.9999999995,0.320734,2055.9126929091685,7261624000.0
141,3412.0,109.238,149.4514,0.3336,0.0263,0.7692,0.6331,38.394,0.7844,2.0,0.48836170441834575,3779466.0,0.49274,3079.157743448413,11741906000.0
142,3412.0,109.238,149.4514,0.3336,0.0263,0.7692,0.6331,38.394,0.7844,3.0,0.5729087924451159,3615324.0,0.579515,3551.3580525562857,12987359999.999998
143,3412.0,109.238,149.4514,0.3336,0.0263,0.7692,0.6331,38.394,0.7844,4.0,0.633211066257113,3492419.999999999,0.634167,3920.439122442319,13712490000.000002
144,3412.0,109.238,149.4514,0.3336,0.0263,0.7692,0.6331,38.394,0.7844,5.0,0.6766004482032378,3373400.000000002,0.672629,4264.457224165527,14301279999.999998
145,3412.0,109.238,149.4514,0.3336,0.0263,0.7692,0.6331,38.394,0.7844,6.0,0.7000536137159662,3297039.999999999,0.695378,4507.118506296558,14760899999.999992
146,3412.0,109.238,149.4514,0.3336,0.0263,0.7692,0.6331,38.394,0.7844,7.0,0.7185247996591441,3241109.999999999,0.718608,4662.951889938942,15114890000.000002
147,3412.0,109.238,149.4514,0.3336,0.0263,0.7692,0.6331,38.394,0.7844,8.0,0.7388686283453213,3177970.000000002,0.737473,4876.074978681358,15466750000.000004
148,3412.0,109.238,149.4514,0.3336,0.0263,0.7692,0.6331,38.394,0.7844,9.0,0.7567445918802069,3106939.999999998,0.748906,5130.095849935954,15773799999.999994
149,3412.0,109.238,149.4514,0.3336,0.0263,0.7692,0.6331,38.394,0.7844,10.0,0.7662629563068631,3069420.000000001,0.7617,5252.262642453625,16025400000.000004
150,3475.25,175.213,856.4437,0.3033,0.0379,0.5445,0.6352,41.724,0.4894,1.0,0.4213770822385369,9313636.0,0.378943,11655.222514601171,97620900000.0
151,3475.25,175.213,856.4437,0.3033,0.0379,0.5445,0.6352,41.724,0.4894,2.0,0.5355709739830273,8256894.000000001,0.523066,14317.199663699206,115455400000.0
152,3475.25,175.213,856.4437,0.3033,0.0379,0.5445,0.6352,41.724,0.4894,3.0,0.5963464205565663,7768739.999999997,0.573665,15910.598115009647,118904099999.99997
153,3475.25,175.213,856.4437,0.3033,0.0379,0.5445,0.6352,41.724,0.4894,4.0,0.6446281006821462,7480370.000000001,0.616317,16908.52190466514,120927100000.00005
154,3475.25,175.213,856.4437,0.3033,0.0379,0.5445,0.6352,41.724,0.4894,5.0,0.6779071001417503,7284750.000000003,0.645529,17563.430454030684,121834299999.99998
155,3475.25,175.213,856.4437,0.3033,0.0379,0.5445,0.6352,41.724,0.4894,6.0,0.7019191602208138,7125459.999999997,0.661396,18246.737754474805,122510300000.00003
156,3475.25,175.213,856.4437,0.3033,0.0379,0.5445,0.6352,41.724,0.4894,7.0,0.7166518548314419,7057780.000000001,0.674276,18546.766830363085,123158899999.99991
157,3475.25,175.213,856.4437,0.3033,0.0379,0.5445,0.6352,41.724,0.4894,8.0,0.7325878845870842,6955669.999999998,0.686185,18982.729197906174,123674200000.00005
158,3475.25,175.213,856.4437,0.3033,0.0379,0.5445,0.6352,41.724,0.4894,9.0,0.7456660034697876,6865929.999999999,0.694861,19396.26532749386,124099799999.99995
159,3475.25,175.213,856.4437,0.3033,0.0379,0.5445,0.6352,41.724,0.4894,10.0,0.7516264867160546,6822150.000000007,0.700604,19550.58156153119,124323000000.00009
